F1	#edp_depmorp_포승읍-@-NNG
F123	#edp_dependency_치아르타스-@-NNG--같-@-VA--동료-@-NNG--함께하-@-VV--이적하-@-VV
F4218	로마-@-NNG
F6156	로스앤젤레스-@-NNG
F2112	#edp_dependency_제작하-@-VV--통사-@-NNG--유래하-@-VV--설명-@-NNG--같-@-VA--주장하-@-VV--것-@-NNB--유래하-@-VV--통사-@-NNG--사용하-@-VV--유거용-@-NNG--죽이-@-VV--왕영-@-NNG--일으키-@-VV--절서-@-NNG
F6158	#edp_dependency_전투-@-NNG--등-@-NNB--보좌하-@-VV--원수-@-NNG
F4108	열-@-NR
F7137	#edp_arg2_mod_터키-@-NNG
F6452	#edp_depmorp_공항-@-NNG
F26	#edp_dependency_대통령-@-NNG--협상-@-NNG--실현되-@-VV--당국-@-NNG
F6135	#edp_dependency_오-@-VV--계약하-@-VV
F6776	#edp_arg2_mod_월드컵-@-NNG
F1781	#edp_depmorp_예우되-@-VV
F4231	#edp_depmorp_판매하-@-VV
F27	#edp_dependency_up||NP_SBJ--up||VP--up||VP--up||VP_MOD--up||NP_AJT--up||VP--up||VP_MOD--down||
F5944	#edp_depmorp_등극-@-NNG
F28	#edp_depmorp_톱스타-@-NNG
F4110	온타리오-@-NNG
F29	이외-@-NNG
F6162	#edp_depmorp_개척자-@-NNG
F5395	운행-@-NNG
F2113	#edp_dependency_이름-@-NNG--따-@-VV--공항-@-NNG--있-@-VA--브라질리아-@-NNG--수도-@-NNG
F7138	#edp_arg2_mod_충청남도-@-NNG
F30	#edp_arg1_mod_예정-@-NNG
F4111	#edp_depmorp_연안-@-NNG
F31	자객-@-NNG
F32	#edp_depmorp_금왕읍-@-NNG
F1272	#edp_dependency_결혼하-@-VV--위하-@-VV--건너가-@-VV--받-@-VV
F4112	#edp_depmorp_시키-@-VV
F2115	#edp_depmorp_안산시-@-NNG
F2116	#edp_depmorp_기념-@-NNG
F2117	#edp_depmorp_격분하-@-VV
F4113	#edp_depmorp_도움-@-NNG
F34	#edp_dependency_up||VNP--up||VP--down||
F6168	#edp_arg1_mod_때-@-NNG
F3734	#edp_depmorp_등지-@-NNB
F2119	하희라-@-NNG
F6170	#edp_dependency_계승하-@-VV--황제직-@-NNG
F2120	제주시-@-NNG
F6172	#edp_depmorp_공-@-NNG
F2121	#edp_depmorp_시트콤-@-NNG
F5492	#edp_dependency_대손-@-NNG--대손-@-NNG--윤신달-@-NNG--태사-@-NNG
F2122	#edp_dependency_인선왕후-@-NNG--녀-@-NNG--왕족-@-NNG
F4115	장소-@-NNG
F4117	#edp_dependency_up||VNP--down||NP_AJT--down||VP_MOD--down||
F2123	말-@-NNG
F4118	뉴스-@-NNG
F7832	캄포바소-@-NNG
F37	#edp_dependency_우크라이나인-@-NNG
F4119	소재지-@-NNG
F4279	#edp_depmorp_병력-@-NNG
F3099	#edp_dependency_드라마-@-NNG--주연-@-NNG--강동원-@-NNG
F4120	#edp_dependency_영웅-@-NNG
F6176	#edp_depmorp_사운드-@-NNG
F38	#edp_dependency_속하-@-VV--분류군-@-NNG--하나-@-NR
F1756	#edp_depmorp_조인벽-@-NNG
F842	계열사-@-NNG
F2125	#edp_arg1_mod_지하철-@-NNG
F6178	#edp_depmorp_석수동-@-NNG
F40	#edp_dependency_서-@-VV--중-@-NNB--자연철학자-@-NNG
F4303	#edp_depmorp_요령해설서-@-NNG
F4121	#edp_depmorp_통영관광개발공사-@-NNG
F4306	유럽-@-NNG
F41	남인-@-NNG
F2126	#edp_depmorp_떠나-@-VV
F7139	#edp_depmorp_현종-@-NNG
F42	#edp_depmorp_대부분-@-NNG
F2127	#edp_depmorp_교통-@-NNG
F3261	신구-@-NNG
F678	이후-@-NNG
F6181	만-@-NNB
F2129	#edp_depmorp_울주군-@-NNG
F225	이다-@-NNG
F7835	#edp_dependency_up||VP--up||VP--up||VP--up||VP--up||VP--up||VP--down||
F6182	#edp_depmorp_시외버스터미널-@-NNG
F2130	#edp_depmorp_휴런-@-NNG
F6184	#edp_dependency_대통령-@-NNG
F7222	#edp_depmorp_지방-@-NNG
F6185	#edp_dependency_up||NP_MOD--up||NP_AJT--up||VP--up||VP_MOD--up||VNP--down||NP_MOD--down||
F6186	#edp_dependency_수-@-NNG
F6187	알렉산드로스-@-NNG
F2131	#edp_depmorp_지도자-@-NNG
F6188	#edp_dependency_재회하-@-VV--동료-@-NNG--복귀하-@-VV
F44	#edp_arg1_mod_벌목_-@-NNG
F5696	#edp_depmorp_담당하-@-VV
F2132	#edp_arg2_mod_고향-@-NNG
F2133	#edp_dependency_up||VP_MOD--up||NP_OBJ--down||NP_CNJ--down||
F45	#edp_dependency_등장하-@-VV
F6427	#edp_dependency_up||NP_AJT--up||VP_MOD--up||NP_SBJ--up||VP_MOD--up||VNP_MOD--up||NP_SBJ--up||VP_OBJ--up||VP--up||VP_MOD--down||NP_AJT--down||VP_MOD--down||VP--down||NP_OBJ--down||NP_MOD--down||
F246	#edp_depmorp_중부고속도로-@-NNG
F4126	반-@-NNG
F46	#edp_depmorp_잃-@-VV
F4127	측면-@-NNG
F2135	#edp_dependency_up||NP_AJT--up||VP_MOD--up||NP_MOD--up||
F2136	#edp_depmorp_시인-@-NNG
F2645	#edp_depmorp_차르-@-NNG
F2137	#edp_dependency_대-@-NNB--기-@-NNB
F2138	#edp_dependency_up||NP_OBJ--up||VP--up||VP--down||NP_CNJ--down||NP_MOD--down||NP_CNJ--down||
F48	#edp_dependency_down||NP--down||NP_SBJ--down||VP_MOD--down||NP_SBJ--down||
F256	벌어지-@-VV
F6192	혁명-@-NNG
F7895	요코하마-@-NNG
F4129	#edp_depmorp_여객철도-@-NNG
F4130	#edp_depmorp_마리오-@-NNG
F6193	#edp_dependency_사망하-@-VV
F4131	#edp_dependency_up||NP_AJT--up||VP--up||VP--up||VP--up||VP--up||VP--down||NP_AJT--down||
F4132	#edp_dependency_up||NP--down||VNP_MOD--down||NP_MOD--down||
F271	#edp_depmorp_경합-@-NNG
F2139	#edp_depmorp_총장-@-NNG
F2140	친척-@-NNG
F6194	#edp_dependency_철도역-@-NNG--위치하-@-VV--세타-@-NNG--가-@-VV
F2471	때문-@-NNB
F2141	#edp_depmorp_수도-@-NNG
F7672	#edp_dependency_up||NP_MOD--up||NP_MOD--up||NP_OBJ--up||VP_OBJ--down||NP_SBJ--down||VP_MOD--down||NP_CNJ--down||NP--down||
F6195	#edp_depmorp_코미디-@-NNG
F4390	#edp_dependency_등-@-NNB--경호하-@-VV--발각하-@-NNG--지운영-@-NNG--보내-@-VV
F6196	#edp_depmorp_후쿠시마-@-NNG
F4394	실패-@-NNG
F6139	#edp_depmorp_손윗처남-@-NNG
F4133	#edp_dependency_요세프-@-NNG--포함되-@-VV--선수-@-NNG
F51	차례-@-NNG
F4135	#edp_depmorp_뉴어크-@-NNG
F303	#edp_dependency_up||VP_MOD--up||NP_CNJ--up||
F1332	연주-@-NNG
F6197	#edp_depmorp_포함시키-@-VV
F314	#edp_depmorp_사례-@-NNG
F52	#edp_depmorp_원표-@-NNG
F6200	람보르기니-@-NNG
F2144	황제-@-NNG
F310	디디에-@-NNG
F4139	#edp_depmorp_버밍햄_-@-NNG
F7554	#edp_depmorp_정치가-@-NNG
F4140	#edp_dependency_up||VP--up||VP--up||VP--down||NP_SBJ--down||VP_MOD--down||NP_AJT--down||NP--down||VP_MOD--down||
F4141	#edp_depmorp_생각하-@-VV
F6201	#edp_depmorp_주간연속극-@-NNG
F6144	#edp_depmorp_운난-@-NNG
F317	#edp_dependency_up||NP_OBJ--down||VP_MOD--down||
F3110	#edp_arg2_mod_개최국-@-NNG
F6852	#edp_dependency_있-@-VA--도화동-@-NNG--남구-@-NNG
F6202	#edp_depmorp_몰락하-@-VV
F2145	#edp_depmorp_외조모-@-NNG
F6221	#edp_depmorp_영입-@-NNG
F54	#edp_dependency_up||NP--up||NP_AJT--up||VP--down||VP--down||VP--down||VP--down||NP_OBJ--down||NP--down||
F3520	#edp_dependency_철도역-@-NNG--위치하-@-VV--정-@-NNG--군-@-NNG--히노-@-NNG
F2146	에밀리-@-NNG
F6458	#edp_depmorp_앞-@-NNG
F2147	#edp_dependency_up||NP_AJT--up||NP--down||NP--down||
F2148	#edp_depmorp_재성립되-@-NNG
F4143	회담-@-NNG
F4456	대로-@-NNB
F350	#edp_depmorp_효자동-@-NNG
F4144	공산당-@-NNG
F2150	스트라이커-@-NNG
F4145	첼로-@-NNG
F55	정도-@-NNG
F6142	#edp_depmorp_법주사-@-NNG
F56	#edp_arg1_mod_세우-@-VV
F7539	#edp_dependency_애벌레-@-NNG--무당벌레-@-NNG--등-@-NNB--개미-@-NNG--개미-@-NNG--동물-@-NNG--사냥하-@-VV
F58	#edp_arg2_mod_곳-@-NNG
F2152	작사-@-NNG
F59	#edp_dependency_up||VNP--down||VNP--down||VP_MOD--down||
F7840	#edp_depmorp_증손자-@-NNG
F60	#edp_dependency_밴드-@-NNG
F2153	#edp_depmorp_신호장-@-NNG
F376	#edp_arg2_mod_최근-@-NNG
F4475	신성기-@-NNG
F6209	#edp_dependency_up||NP_AJT--up||VNP--down||VP--down||NP_AJT--down||NP--down||
F7666	#edp_depmorp_시작-@-NNG
F61	#edp_dependency_up||NP_SBJ--down||VNP_MOD--down||
F3202	영입속도-@-NNG
F2155	#edp_depmorp_미드필더-@-NNG
F4148	#edp_dependency_국제공항-@-NNG--도모데도보-@-NNG
F389	#edp_arg1_mod_키커-@-NNG
F6672	수비수-@-NNG
F62	#edp_dependency_up||NP_AJT--up||VP--down||NP_OBJ--down||
F4150	#edp_depmorp_국민당-@-NNG
F2156	#edp_depmorp_온라인-@-NNG
F8007	#edp_depmorp_평정하-@-VV
F4151	#edp_depmorp_멤버-@-NNG
F4152	#edp_depmorp_제독-@-NNG
F2157	#edp_arg2_mod_에콰도르-@-NNG
F402	선언-@-NNG
F2158	#edp_depmorp_대원-@-NNG
F65	송시열-@-NNG
F7274	#edp_dependency_지명타자-@-NNG
F7473	년대-@-NNB
F6234	#edp_depmorp_공사-@-NNG
F66	관직-@-NNG
F6939	#edp_depmorp_니시야쓰시-@-NNG
F4536	#edp_depmorp_분당구-@-NNG
F4153	#edp_dependency_up||VNP_MOD--up||NP_CNJ--up||
F6316	#edp_depmorp_소유하-@-VV
F2159	#edp_depmorp_계성면-@-NNG
F2160	#edp_dependency_up||NP_AJT--up||VP_MOD--down||
F6214	#edp_dependency_up||NP--up||NP_OBJ--up||VP--down||VP--down||
F2161	#edp_dependency_up||VP--up||VP--up||VP--down||NP_AJT--down||VP_MOD--down||
F5582	#edp_depmorp_직통하-@-VV
F437	#edp_depmorp_느끼-@-VV
F1423	아메리칸-@-NNG
F6216	비토리아-@-NNG
F2162	#edp_depmorp_강경파-@-NNG
F4157	호텔-@-NNG
F442	#edp_dependency_클로제-@-NNG--영입-@-NNG
F4159	#edp_dependency_up||VNP--down||NP_SBJ--down||VP_MOD--down||NP_AJT--down||NP_CNJ--down||
F5817	박지원-@-NNG
F2163	#edp_arg1_mod_딸-@-NNG
F6145	#edp_depmorp_꺾-@-VV
F68	#edp_arg1_mod_용현동-@-NNG
F4161	대중교통-@-NNG
F3080	#edp_arg1_mod_일일극-@-NNG
F4162	홈-@-NNG
F4163	야마가타-@-NNG
F459	#edp_depmorp_결정하-@-VV
F6217	#edp_depmorp_지단-@-NNG
F1611	#edp_dependency_따-@-VV--짓-@-VV--정자-@-NNG--있-@-VA--세조때-@-NNG--조선-@-NNG
F70	#edp_arg2_mod_한국방송공사-@-NNG
F465	#edp_dependency_일일연속극-@-NNG
F4165	카시야스-@-NNG
F71	천주교-@-NNG
F2441	#edp_depmorp_영지-@-NNG
F3268	쪽-@-NNB
F72	#edp_arg2_mod_아동-@-NNG
F2166	미-@-NNG
F6218	에보-@-NNG
F6219	#edp_depmorp_흩어지-@-VV
F7465	#edp_dependency_국제공항-@-NNG--있-@-VA--항공사-@-NNG
F6220	#edp_dependency_up||NP--down||NP_AJT--down||NP--down||
F2168	#edp_depmorp_번화가-@-NNG
F4168	#edp_depmorp_자체제작-@-NNG
F7039	#edp_dependency_게이세-@-NNG--위치하-@-VV
F2169	#edp_depmorp_무너지-@-VV
F73	#edp_depmorp_연륙교-@-NNG
F993	#edp_dependency_정하-@-VV--올리-@-VV--상소-@-NNG--청하-@-VV--부관참시하-@-VV--번갈-@-VV
F6149	조약-@-NNG
F2170	광연-@-NNG
F6223	부부-@-NNG
F6224	울산광역시-@-NNG
F333	#edp_depmorp_지나가-@-VV
F74	#edp_arg2_mod_챔피언스리그-@-NNG
F6225	#edp_depmorp_연합사회당-@-NNG
F2171	#edp_depmorp_기념일-@-NNG
F4171	#edp_arg1_mod_충청북도-@-NNG
F76	#edp_depmorp_오른쪽-@-NNG
F2172	국립공원-@-NNG
F688	#edp_dependency_down||VP_MOD--down||VNP--down||
F78	부-@-NNG
F2173	#edp_depmorp_키타-@-NNG
F2175	#edp_depmorp_둘러싸이-@-VV
F79	사후-@-NNG
F4172	라파엘-@-NNG
F6360	#edp_depmorp_통일되-@-VV
F4215	백만송-@-NNG
F534	#edp_depmorp_싫어하-@-VV
F535	강원-@-NNG
F4447	#edp_arg2_mod_노르웨이-@-NNG
F4174	유로파리그-@-NNG
F80	들어가-@-VV
F544	#edp_dependency_up||VP--up||VP_MOD--up||NP_SBJ--up||VP_MOD--down||NP_AJT--down||NP--down||
F81	#edp_depmorp_달성하-@-VV
F1421	#edp_depmorp_편입되-@-VV
F7648	#edp_dependency_차전-@-NNB
F6228	#edp_depmorp_예배당-@-NNG
F3082	#edp_depmorp_해당하-@-VV
F5994	#edp_depmorp_공습하-@-VV
F557	뮈세윔플레인-@-NNG
F7844	#edp_depmorp_살해-@-NNG
F4177	사무실-@-NNG
F2177	#edp_dependency_지방-@-NNG
F7763	#edp_dependency_up||VNP--up||VNP--down||NP_MOD--down||
F7529	#edp_dependency_목록-@-NNG
F5618	#edp_depmorp_좋-@-VA
F2179	발매하-@-VV
F4179	#edp_dependency_년-@-NNB--받들-@-VV--책-@-NNG--모으-@-VV--사례-@-NNG--호조-@-NNG
F2180	#edp_dependency_일본-@-NNG--고고-@-NNG--진행되-@-VV--체결되-@-VV--협정-@-NNG--간-@-NNB
F83	최초-@-NNG
F6231	#edp_depmorp_콘서트-@-NNG
F4525	#edp_depmorp_김종진_-@-NNG
F2181	소부-@-NNG
F4181	#edp_depmorp_류득공-@-NNG
F4704	#edp_dependency_up||NP_MOD--up||NP_AJT--down||NP_CNJ--down||
F6235	#edp_dependency_up||NP_AJT--down||VNP_MOD--down||
F84	#edp_depmorp_시인들-@-NNG
F7477	#edp_depmorp_아씨_-@-NNG
F2183	#edp_dependency_up||VP_MOD--up||VNP_MOD--up||
F85	#edp_depmorp_수이족-@-NNG
F758	#edp_dependency_up||VP--down||VNP--down||
F6236	#edp_dependency_미니시리즈-@-NNG
F2184	#edp_arg1_mod_내셔널리그_-@-NNG
F601	#edp_depmorp_진입하-@-VV
F86	#edp_depmorp_김희갑_-@-NNG
F7173	의견-@-NNG
F4182	작가-@-NNG
F87	#edp_dependency_up||NP--down||NP_CNJ--down||X--down||
F88	#edp_arg2_mod_소속-@-NNG
F4183	#edp_depmorp_스트라이커-@-NNG
F611	해산되-@-VV
F6237	#edp_depmorp_표하-@-VV
F89	#edp_depmorp_간부-@-NNG
F2186	#edp_depmorp_하나-@-NR
F2187	발표하-@-VV
F618	#edp_arg1_mod_나이로비-@-NNG
F691	#edp_depmorp_치하-@-NNG
F90	광고-@-NNG
F2188	#edp_depmorp_클루비-@-NNG
F4185	#edp_dependency_꿀벌-@-NNG--등-@-NNB
F7849	#edp_depmorp_작업하-@-VV
F629	#edp_dependency_up||VP--up||VP_OBJ--down||
F5476	#edp_dependency_이르-@-VV--만들-@-VV--수정하-@-VV--역사서-@-NNG--초기-@-NNG
F4796	#edp_dependency_하나-@-NR
F4188	#edp_dependency_설치되-@-VV--진례면-@-NNG--김해시-@-NNG
F91	#edp_depmorp_혈통-@-NNG
F92	관리-@-NNG
F636	사실-@-NNG
F7152	#edp_depmorp_대체하-@-VV
F93	광주-@-NNG
F2189	지나-@-VV
F4189	#edp_depmorp_땅덩어리-@-NNG
F4754	#edp_dependency_주도-@-NNG--도시-@-NNG--위치하-@-VV--중부-@-NNG
F2190	#edp_depmorp_쏘-@-VV
F2191	#edp_depmorp_운전-@-NNG
F4449	연개소문-@-NNG
F4190	#edp_dependency_강원도-@-NNG
F651	#edp_arg1_mod_수비수-@-NNG
F7850	다니-@-VV
F2192	#edp_dependency_투입되-@-VV--경기-@-NNG
F4192	#edp_depmorp_스페셜-@-NNG
F2193	#edp_dependency_up||NP--up||NP_SBJ--up||VP--down||VP--down||VP--down||
F95	개통되-@-VV
F2194	종영-@-NNG
F4194	#edp_dependency_이승연-@-NNG--진행하-@-VV--라디오-@-NNG--채널-@-NNG--한국방송공사-@-NNG--방송국-@-NNG
F2079	마을-@-NNG
F6468	#edp_depmorp_소개하-@-VV
F4768	#edp_depmorp_관계자들-@-NNG
F6242	미술관-@-NNG
F6731	#edp_depmorp_국가대표-@-NNG
F4775	#edp_depmorp_배치되-@-VV
F98	#edp_depmorp_작품-@-NNG
F99	#edp_dependency_up||VP_MOD--up||NP_AJT--up||VP--down||NP_OBJ--down||NP_CNJ--down||
F1424	되-@-VV
F2195	#edp_depmorp_현존하-@-VV
F752	#edp_depmorp_우회하-@-VV
F2196	#edp_dependency_up||NP_MOD--up||VNP--down||VP_MOD--down||VP--down||
F6244	#edp_dependency_구성원-@-NNG
F7851	#edp_depmorp_통치하-@-VV
F680	#edp_dependency_up||NP_SBJ--down||NP_MOD--down||
F101	독립운동가-@-NNG
F6246	중심-@-NNG
F2197	#edp_dependency_위치하-@-VV--남구-@-NNG
F6150	마드리드-@-NNG
F6247	국도-@-NNG
F102	일대-@-NNG
F696	#edp_depmorp_문과-@-NNG
F104	#edp_dependency_극적-@-NNG--골-@-NNG--거두-@-VV--이뤄냈-@-VV--만-@-NNB
F105	#edp_dependency_up||NP--up||NP_AJT--up||VP_MOD--down||NP_AJT--down||
F106	메시-@-NNG
F4199	#edp_depmorp_불암동-@-NNG
F4200	#edp_depmorp_동대문구-@-NNG
F6252	#edp_depmorp_약화되-@-VV
F4807	#edp_dependency_up||VNP--down||VP--down||NP_AJT--down||
F3088	총칭-@-NNG
F4811	#edp_arg1_mod_팝아티스트-@-NNG
F4201	#edp_depmorp_주선-@-NNG
F3622	파울-@-NNG
F108	군대-@-NNG
F695	대신하-@-VV
F3089	#edp_depmorp_자격-@-NNG
F2201	#edp_depmorp_장관-@-NNG
F723	#edp_depmorp_시작하-@-VV
F2202	#edp_dependency_up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_OBJ--down||
F4819	#edp_depmorp_대항하-@-VV
F6255	#edp_depmorp_파병되-@-VV
F2203	#edp_depmorp_건너가-@-VV
F5903	#edp_dependency_열차-@-NNG
F4825	만화-@-NNG
F110	#edp_arg1_mod_포수-@-NNG
F6256	#edp_dependency_up||VP_MOD--up||NP_AJT--up||
F111	팰리스-@-NNG
F112	#edp_arg1_mod_자사-@-NNG
F745	#edp_depmorp_오름-@-NNG
F4205	#edp_depmorp_사정-@-NNG
F4206	#edp_dependency_up||VP_MOD--up||NP_OBJ--up||VP_OBJ--down||NP_SBJ--down||VNP_MOD--down||
F6257	#edp_dependency_up||NP_MOD--down||NP--down||NP--down||
F113	#edp_dependency_up||NP--up||NP--down||X--down||
F7853	#edp_dependency_가르치-@-VV--요령해설서-@-NNG--전하-@-VV--때-@-NNG--만나-@-VV--중-@-NNB--기간-@-NNG--정상회담-@-NNG--도야코-@-NNG--홋카이도-@-NNG
F4856	#edp_depmorp_윤선-@-NNG
F114	#edp_arg2_mod_스위스-@-NNG
F4209	당나라-@-NNG
F4210	겸-@-NNB
F2205	모습-@-NNG
F2206	공연-@-NNG
F6155	#edp_arg1_mod_팝가수-@-NNG
F6260	#edp_dependency_홍번구-@-NNG--등-@-NNB--영화-@-NNG--제작하-@-VV--거느리-@-VV--등-@-NNB--원표-@-NNG
F4211	#edp_depmorp_녹음하-@-VV
F116	#edp_arg1_mod_섬-@-NNG
F117	결성-@-NNG
F118	세조-@-NNG
F4212	#edp_depmorp_드럼셋-@-NNG
F2207	계약하-@-VV
F4213	#edp_dependency_up||NP_OBJ--up||NP_AJT--up||VP--down||
F1665	#edp_depmorp_발권하-@-VV
F5710	#edp_depmorp_과천시-@-NNG
F120	#edp_depmorp_신봉하-@-VV
F7157	#edp_depmorp_치아르타스-@-NNG
F4216	#edp_depmorp_중용되-@-VV
F2208	#edp_depmorp_삼-@-VV
F121	#edp_dependency_도시-@-NNG
F7349	#edp_depmorp_김제시-@-NNG
F122	#edp_dependency_뉴욕-@-NNG--주-@-NNG
F7100	#edp_depmorp_들여오-@-VV
F6261	무쓰-@-NNG
F4893	#edp_depmorp_밴드-@-NNG
F4217	#edp_depmorp_삼산면-@-NNG
F124	#edp_depmorp_기세-@-NNG
F6262	#edp_depmorp_우연하-@-VA
F125	#edp_depmorp_요-@-NNG
F2209	#edp_arg1_mod_서울특별시-@-NNG
F2210	막대하-@-VA
F128	#edp_depmorp_수상하-@-VV
F2211	콘서트-@-NNG
F129	강조하-@-VV
F818	#edp_depmorp_특징-@-NNG
F130	#edp_dependency_up||VP_MOD--up||NP_AJT--up||VP--down||NP_SBJ--down||
F7613	#edp_dependency_up||NP_AJT--up||VP--down||VP--down||NP_AJT--down||VP_MOD--down||
F131	#edp_depmorp_석방되-@-VV
F6263	#edp_dependency_up||NP_AJT--up||AP--up||VP_MOD--up||
F8080	#edp_depmorp_프리미어리그-@-NNG
F2212	형제-@-NNG
F4920	방송-@-NNG
F4219	#edp_dependency_up||NP_MOD--down||VP_MOD--down||
F8028	#edp_depmorp_흘러가-@-VV
F2213	#edp_dependency_up||VNP--down||VP_MOD--down||NP_SBJ--down||NP--down||
F7485	#edp_depmorp_나뉘-@-VV
F4577	#edp_depmorp_비케프레이베르-@-NNG
F1115	#edp_dependency_up||NP_SBJ--up||VP--down||NP_SBJ--down||VP_MOD--down||NP_AJT--down||
F841	#edp_depmorp_숙흘종-@-NNG
F5827	#edp_depmorp_때리-@-VV
F4221	#edp_depmorp_뛰-@-VV
F7486	한규직-@-NNG
F4222	요크-@-NNG
F132	#edp_depmorp_시위-@-NNG
F7158	#edp_depmorp_한결같-@-VA
F6267	#edp_depmorp_클로제-@-NNG
F3771	#edp_dependency_up||VP--down||NP_CMP--down||
F4224	양치식물-@-NNG
F2214	#edp_depmorp_철도선-@-NNG
F133	#edp_arg1_mod_죽-@-VV
F4944	#edp_depmorp_받들-@-VV
F5482	#edp_dependency_발표하-@-VV--대중가요-@-NNG
F135	#edp_depmorp_여객철-@-NNG
F6159	#edp_depmorp_수여하-@-VV
F2215	#edp_dependency_김기동-@-NNG--이상-@-NNG
F2216	#edp_dependency_up||NP--up||NP_AJT--up||VP--down||NP_AJT--down||
F4225	#edp_depmorp_아야베-@-NNG
F136	#edp_arg1_mod_클럽-@-NNG
F346	#edp_depmorp_중심지-@-NNG
F137	#edp_arg1_mod_여성-@-NNG
F6494	보위-@-NNG
F6268	중앙선-@-NNG
F4226	#edp_dependency_down||VP--down||
F2218	#edp_depmorp_기획사-@-NNG
F2219	#edp_depmorp_추모하-@-VV
